age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
31,unemployed,single,primary,false,406,false,false,cellular,4,feb,736,1,-1,0,unknown,true
36,blue-collar,married,secondary,false,0,true,false,unknown,6,may,337,1,-1,0,unknown,false
38,management,single,tertiary,false,493,true,false,cellular,11,may,553,1,367,7,failure,false
49,technician,married,secondary,false,5996,false,false,telephone,21,nov,345,2,-1,0,unknown,false
57,services,single,primary,false,3777,true,false,telephone,13,may,65,2,-1,0,unknown,false
34,management,single,secondary,false,524,false,false,unknown,13,aug,9,1,-1,0,unknown,false
32,management,single,tertiary,false,574,true,false,cellular,14,apr,259,2,145,3,failure,false
37,blue-collar,married,secondary,false,427,true,true,unknown,9,jun,371,3,-1,0,unknown,false
33,self-employed,married,tertiary,false,483,true,false,cellular,3,feb,280,2,-1,0,unknown,false
56,unemployed,married,primary,false,3391,false,false,cellular,21,apr,243,1,-1,0,unknown,true
27,housemaid,married,primary,false,0,true,false,cellular,23,jul,435,3,-1,0,unknown,false
21,student,single,secondary,false,2488,false,false,cellular,30,jun,258,6,169,3,success,true
58,management,married,tertiary,false,1517,true,false,telephone,29,jul,7,5,-1,0,unknown,false
32,self-employed,married,secondary,false,217,true,true,cellular,15,jul,317,5,-1,0,unknown,false
33,blue-collar,single,secondary,false,22,false,false,cellular,30,jan,76,2,207,1,failure,false
25,student,single,secondary,false,331,false,false,telephone,26,aug,170,4,-1,0,unknown,true
25,technician,single,secondary,false,505,false,true,cellular,17,nov,386,2,-1,0,unknown,true
30,services,married,secondary,false,1808,true,false,cellular,18,may,83,2,-1,0,unknown,false
22,admin.,single,secondary,false,4111,false,true,cellular,19,aug,65,1,-1,0,unknown,false
39,blue-collar,married,primary,false,52,false,false,cellular,13,aug,69,1,-1,0,unknown,false
46,management,divorced,tertiary,false,25,false,false,unknown,17,jun,564,2,-1,0,unknown,false
31,admin.,divorced,secondary,false,1890,true,false,cellular,21,jul,588,1,-1,0,unknown,false
45,blue-collar,married,primary,false,419,false,false,cellular,18,aug,113,4,-1,0,unknown,false
32,technician,married,secondary,false,2693,true,false,unknown,21,may,16,1,-1,0,unknown,false
36,blue-collar,married,secondary,false,-231,false,true,cellular,15,jul,779,2,-1,0,unknown,false
51,management,single,tertiary,true,-55,true,false,cellular,11,may,281,2,266,6,failure,false
34,self-employed,single,tertiary,false,462,false,false,cellular,21,aug,1877,3,-1,0,unknown,true
24,unemployed,single,secondary,false,119,false,false,unknown,15,sep,51,1,-1,0,unknown,false
45,technician,single,secondary,false,586,false,true,cellular,28,jul,32,3,-1,0,unknown,false
32,blue-collar,single,secondary,false,228,false,false,telephone,5,feb,176,1,288,3,failure,false
77,retired,divorced,tertiary,false,4659,false,false,cellular,14,apr,161,1,-1,0,unknown,true
41,blue-collar,married,primary,false,168,true,false,cellular,18,nov,187,3,-1,0,unknown,false
37,blue-collar,married,primary,false,0,true,false,unknown,26,may,24,1,-1,0,unknown,false
43,blue-collar,married,unknown,true,-715,true,false,unknown,30,may,67,3,-1,0,unknown,false
48,admin.,married,unknown,false,0,true,false,cellular,8,may,85,1,168,2,failure,false
27,technician,single,secondary,false,769,true,false,unknown,9,may,317,2,-1,0,unknown,false
33,management,single,tertiary,false,0,false,false,cellular,28,aug,236,10,-1,0,unknown,false
29,admin.,single,secondary,false,428,true,true,cellular,7,may,54,1,345,2,failure,false
34,management,single,tertiary,false,0,false,false,cellular,5,feb,71,1,-1,0,unknown,false
52,management,married,tertiary,false,-970,true,false,cellular,4,feb,489,1,-1,0,unknown,true
60,management,married,unknown,false,6313,false,false,unknown,19,jun,39,2,-1,0,unknown,false
32,management,divorced,tertiary,false,948,false,false,cellular,12,aug,204,2,-1,0,unknown,false
32,management,single,tertiary,false,0,true,false,cellular,22,jul,455,2,-1,0,unknown,false
56,services,divorced,unknown,false,1877,true,false,unknown,30,may,86,1,-1,0,unknown,false
31,management,single,tertiary,false,874,true,false,cellular,18,nov,190,2,-1,0,unknown,false
42,admin.,married,secondary,false,323,true,true,unknown,8,may,280,2,-1,0,unknown,false
35,management,married,tertiary,false,106,false,true,cellular,11,aug,588,2,-1,0,unknown,false
56,retired,married,primary,false,1906,false,true,unknown,19,jun,45,9,-1,0,unknown,false
48,technician,married,secondary,false,1152,true,false,cellular,21,jul,168,5,-1,0,unknown,false
46,admin.,married,secondary,false,179,true,false,cellular,29,jan,194,4,436,1,other,false
37,technician,single,unknown,false,391,true,false,unknown,8,may,103,3,-1,0,unknown,false
41,entrepreneur,married,unknown,false,89,true,false,unknown,6,may,333,2,-1,0,unknown,false
36,management,single,tertiary,false,442,true,true,cellular,29,jul,102,3,-1,0,unknown,false
45,unemployed,divorced,primary,true,-249,true,true,unknown,1,jul,92,1,-1,0,unknown,false
55,entrepreneur,married,secondary,false,8104,false,false,cellular,6,feb,213,2,-1,0,unknown,false
39,technician,married,secondary,false,501,false,false,unknown,26,may,289,1,-1,0,unknown,false
35,technician,divorced,secondary,false,308,false,false,cellular,22,aug,77,2,-1,0,unknown,false
55,admin.,married,secondary,false,602,false,false,cellular,1,jun,324,3,90,2,success,true
55,technician,married,secondary,false,273,true,false,cellular,29,jan,84,3,183,3,failure,false
27,self-employed,single,secondary,false,50,false,false,cellular,29,jan,168,1,-1,0,unknown,false
34,technician,married,secondary,false,1641,true,false,cellular,17,apr,380,1,-1,0,unknown,false
34,blue-collar,married,tertiary,false,20,false,false,unknown,4,oct,10,1,-1,0,unknown,false
25,admin.,single,secondary,false,4590,true,false,unknown,28,may,199,2,-1,0,unknown,false
41,admin.,single,secondary,false,-256,false,true,unknown,9,may,35,3,-1,0,unknown,false
43,services,married,secondary,false,978,true,true,unknown,26,may,82,2,-1,0,unknown,false
28,management,single,tertiary,false,80,false,false,cellular,20,oct,676,2,146,2,failure,true
31,admin.,single,secondary,false,2104,true,false,unknown,3,jun,455,1,-1,0,unknown,false
78,housemaid,married,secondary,false,499,false,false,telephone,16,mar,80,4,-1,0,unknown,false
45,blue-collar,divorced,secondary,false,1269,true,false,cellular,29,jan,549,2,-1,0,unknown,false
48,technician,married,tertiary,false,310,false,false,unknown,6,may,135,1,-1,0,unknown,false
32,blue-collar,single,secondary,false,1143,true,true,cellular,10,jul,412,1,-1,0,unknown,false
42,technician,married,secondary,false,2980,false,false,unknown,20,jun,101,3,-1,0,unknown,false
37,management,single,tertiary,false,37,false,false,cellular,28,jan,253,2,-1,0,unknown,false
40,admin.,single,secondary,false,462,true,true,cellular,6,apr,272,1,335,4,other,false
32,admin.,married,secondary,false,1031,true,false,cellular,17,jul,84,1,-1,0,unknown,false
42,management,married,tertiary,false,9009,false,false,cellular,20,nov,135,2,-1,0,unknown,false
43,admin.,married,secondary,false,-465,true,true,cellular,23,jul,166,1,-1,0,unknown,false
44,admin.,married,secondary,false,5181,true,true,cellular,31,jul,18,7,-1,0,unknown,false
37,admin.,married,secondary,false,176,true,false,cellular,5,may,147,2,347,1,failure,false
37,unknown,married,unknown,false,1699,false,false,unknown,9,jun,63,1,-1,0,unknown,false
37,admin.,married,tertiary,false,0,true,false,cellular,17,nov,65,2,119,1,failure,false
28,technician,single,tertiary,false,172,true,true,cellular,2,feb,194,2,-1,0,unknown,false
32,services,single,secondary,false,0,false,true,cellular,11,jul,333,2,-1,0,unknown,false
34,admin.,single,secondary,false,6979,true,false,cellular,15,may,14,5,-1,0,unknown,false
40,admin.,divorced,secondary,false,6,false,false,unknown,11,jun,140,1,-1,0,unknown,false
34,services,married,secondary,false,-62,true,false,unknown,16,jun,109,3,-1,0,unknown,false
34,self-employed,married,tertiary,false,1972,true,false,cellular,23,jul,61,2,-1,0,unknown,false
34,admin.,married,tertiary,false,899,true,false,telephone,19,nov,377,3,7,4,success,false
37,services,single,secondary,false,21,true,false,cellular,2,feb,96,1,271,2,other,false
36,technician,married,secondary,false,23,true,false,cellular,8,may,152,2,347,1,failure,false
56,retired,married,secondary,false,-1206,true,false,cellular,15,jun,382,2,-1,0,unknown,true
49,blue-collar,married,primary,false,0,true,true,telephone,23,jul,97,6,-1,0,unknown,false
33,self-employed,married,secondary,false,215,true,false,cellular,29,jul,543,12,-1,0,unknown,false
30,management,single,tertiary,false,1372,false,false,cellular,20,nov,240,2,-1,0,unknown,false
36,services,married,secondary,false,1981,false,false,unknown,17,jun,48,2,-1,0,unknown,false
23,student,single,secondary,false,9216,false,false,cellular,5,jun,471,2,-1,0,unknown,false
57,retired,divorced,secondary,false,39,true,false,cellular,30,jul,354,3,-1,0,unknown,false
27,blue-collar,single,secondary,false,5563,true,false,unknown,30,may,435,2,-1,0,unknown,false
38,services,married,secondary,false,1,false,true,cellular,21,nov,152,2,-1,0,unknown,false
42,technician,married,tertiary,false,782,false,false,cellular,3,apr,285,1,-1,0,unknown,false
75,retired,married,secondary,false,3771,false,false,telephone,15,apr,185,1,181,2,success,true
34,technician,single,tertiary,false,992,true,false,cellular,4,may,301,1,88,2,success,false
48,technician,married,secondary,false,1526,false,false,cellular,6,aug,273,2,-1,0,unknown,false
35,technician,single,tertiary,false,2658,true,false,cellular,19,aug,768,2,141,3,failure,true
39,management,divorced,tertiary,false,1315,true,false,cellular,19,nov,1337,4,126,1,failure,false
29,blue-collar,single,tertiary,false,455,false,false,telephone,21,apr,403,1,-1,0,unknown,true
45,technician,single,tertiary,false,0,true,false,cellular,18,nov,139,2,-1,0,unknown,false
42,technician,married,secondary,false,2030,true,true,cellular,9,jul,196,1,-1,0,unknown,false
29,technician,married,secondary,false,1599,true,false,cellular,8,jul,115,1,61,1,failure,false
38,services,single,secondary,false,-196,true,false,cellular,2,feb,60,1,271,1,failure,false
56,retired,married,secondary,false,1333,false,false,cellular,28,aug,17,14,-1,0,unknown,false
36,technician,single,secondary,false,9149,true,false,cellular,13,aug,141,3,-1,0,unknown,false
25,blue-collar,single,secondary,false,-350,true,false,unknown,23,jun,95,3,-1,0,unknown,false
38,technician,married,tertiary,false,432,true,false,cellular,15,may,10,2,373,1,other,false
57,self-employed,married,secondary,false,11494,false,false,cellular,19,nov,198,1,-1,0,unknown,false
31,management,married,tertiary,true,-253,false,false,cellular,12,aug,220,4,-1,0,unknown,false
42,management,married,tertiary,false,372,true,false,cellular,3,aug,654,2,-1,0,unknown,true
45,technician,married,secondary,false,1410,false,false,cellular,11,aug,71,2,-1,0,unknown,false
30,blue-collar,married,secondary,false,975,true,false,cellular,13,may,256,2,351,2,failure,false
49,blue-collar,married,primary,false,305,true,true,telephone,10,jul,834,10,-1,0,unknown,false
49,services,married,secondary,false,400,false,false,cellular,21,aug,151,3,-1,0,unknown,false
53,retired,married,tertiary,false,-22,true,false,cellular,31,jul,20,3,-1,0,unknown,false
37,technician,married,secondary,false,4030,true,false,unknown,26,may,178,5,-1,0,unknown,false
49,blue-collar,married,primary,false,365,false,false,unknown,26,may,59,2,-1,0,unknown,false
41,self-employed,married,primary,false,204,false,false,cellular,13,aug,111,7,-1,0,unknown,false
54,management,married,primary,false,1691,true,false,cellular,20,nov,186,1,-1,0,unknown,false
32,services,single,secondary,false,406,true,false,unknown,6,may,227,1,-1,0,unknown,false
33,technician,married,secondary,false,-204,false,false,cellular,15,may,297,3,-1,0,unknown,false
33,technician,married,secondary,false,359,true,false,cellular,20,apr,210,1,242,1,other,false
36,blue-collar,married,primary,false,123,true,false,cellular,18,may,9,1,-1,0,unknown,false
35,technician,married,tertiary,false,0,true,true,cellular,23,sep,112,1,62,6,other,false
52,unknown,married,secondary,false,142,false,false,cellular,25,aug,112,6,-1,0,unknown,false
40,entrepreneur,married,tertiary,false,3571,false,false,unknown,9,jun,222,3,-1,0,unknown,false
44,technician,single,secondary,false,33,true,false,cellular,13,may,195,3,351,10,failure,false
45,blue-collar,single,secondary,false,0,true,false,cellular,26,jul,768,2,91,5,success,false
30,student,single,secondary,false,3096,false,false,cellular,26,jan,123,1,-1,0,unknown,false
48,technician,divorced,secondary,true,20,false,false,cellular,27,aug,145,3,-1,0,unknown,false
33,blue-collar,married,secondary,false,3576,true,false,cellular,2,apr,124,1,308,2,other,false
57,technician,married,unknown,false,206,true,false,unknown,5,may,216,3,-1,0,unknown,false
57,housemaid,married,primary,false,7082,false,false,unknown,6,jun,69,3,-1,0,unknown,false
51,unemployed,married,tertiary,false,1634,true,false,cellular,22,jul,168,4,-1,0,unknown,false
34,admin.,single,secondary,false,1,true,false,cellular,22,jul,483,7,-1,0,unknown,false
50,self-employed,married,tertiary,false,4012,false,false,cellular,19,nov,690,3,-1,0,unknown,false
44,management,married,tertiary,false,3762,false,false,cellular,28,aug,125,12,-1,0,unknown,false
27,admin.,married,secondary,false,-247,true,true,unknown,4,jun,344,2,-1,0,unknown,false
50,blue-collar,married,secondary,false,606,true,false,unknown,14,may,673,2,-1,0,unknown,false
36,management,married,tertiary,false,0,true,false,cellular,28,jan,60,1,250,1,other,false
42,management,married,secondary,false,-189,true,false,unknown,12,may,247,2,-1,0,unknown,false
32,unemployed,single,secondary,false,0,false,false,cellular,27,may,123,2,-1,0,unknown,false
42,management,married,tertiary,false,484,true,false,cellular,11,jul,144,2,-1,0,unknown,false
43,technician,married,secondary,false,0,false,true,cellular,8,may,9,2,172,5,failure,false
31,management,married,tertiary,false,395,true,false,cellular,9,feb,155,3,-1,0,unknown,false
32,management,married,tertiary,false,2349,false,false,cellular,14,aug,134,5,-1,0,unknown,false
55,blue-collar,divorced,primary,false,410,false,true,cellular,11,jul,221,2,-1,0,unknown,false
58,retired,married,primary,false,3401,true,false,cellular,3,feb,84,3,265,2,failure,false
46,blue-collar,married,primary,false,222,false,false,cellular,8,aug,71,2,-1,0,unknown,false
55,blue-collar,married,secondary,false,989,true,true,unknown,23,may,246,4,-1,0,unknown,false
34,management,married,tertiary,false,415,false,true,cellular,23,jul,361,2,-1,0,unknown,false
28,unemployed,single,secondary,false,16,false,false,cellular,12,aug,119,4,-1,0,unknown,false
42,technician,divorced,tertiary,false,7190,true,false,cellular,29,jul,375,2,-1,0,unknown,false
29,blue-collar,single,secondary,false,482,false,true,cellular,10,jul,1097,3,-1,0,unknown,true
54,housemaid,married,secondary,false,209,true,true,cellular,25,jul,97,1,-1,0,unknown,false
32,technician,single,secondary,false,0,false,false,cellular,26,aug,181,2,-1,0,unknown,false
39,technician,single,tertiary,false,5803,false,false,cellular,2,feb,83,3,-1,0,unknown,false
53,entrepreneur,married,tertiary,false,624,false,true,cellular,21,jul,180,4,-1,0,unknown,false
58,technician,married,tertiary,false,883,false,false,cellular,18,aug,543,1,78,2,failure,false
40,self-employed,married,secondary,false,1516,true,true,unknown,23,may,373,1,-1,0,unknown,false
29,student,single,secondary,false,872,true,false,unknown,7,may,230,1,-1,0,unknown,false
33,technician,married,tertiary,false,-988,true,true,cellular,15,jul,83,3,-1,0,unknown,false
38,admin.,single,secondary,false,902,true,false,telephone,31,jul,58,13,-1,0,unknown,false
56,services,divorced,secondary,false,1007,false,false,cellular,29,jul,88,6,-1,0,unknown,false
40,services,married,secondary,false,0,true,false,cellular,2,jun,297,1,28,3,failure,false
24,blue-collar,single,secondary,false,174,true,true,cellular,18,may,487,1,-1,0,unknown,true
46,management,married,secondary,false,12186,false,false,unknown,20,jun,29,3,-1,0,unknown,false
35,self-employed,married,secondary,false,524,true,false,cellular,21,nov,484,4,-1,0,unknown,false
35,blue-collar,single,tertiary,false,0,true,false,cellular,21,jul,262,4,-1,0,unknown,false
34,technician,married,secondary,false,4,true,false,unknown,15,may,644,1,-1,0,unknown,false
35,housemaid,married,tertiary,false,11219,false,false,cellular,12,aug,699,2,79,1,failure,false
38,technician,single,tertiary,false,0,false,false,cellular,28,aug,247,2,-1,0,unknown,false
50,blue-collar,married,primary,false,5776,false,false,cellular,18,nov,49,3,-1,0,unknown,false
51,blue-collar,divorced,primary,false,37,true,false,cellular,13,may,341,1,-1,0,unknown,false
59,self-employed,married,tertiary,false,593,false,false,unknown,13,may,64,2,-1,0,unknown,false
32,blue-collar,married,secondary,false,1148,true,false,cellular,20,apr,121,1,-1,0,unknown,false
37,blue-collar,single,secondary,false,3561,true,false,unknown,2,jun,98,1,-1,0,unknown,false
42,admin.,divorced,secondary,false,63,false,false,unknown,16,may,88,6,-1,0,unknown,false
40,student,married,secondary,false,260,false,false,unknown,20,jun,197,6,-1,0,unknown,false
28,technician,single,tertiary,false,2269,true,false,unknown,9,may,331,1,-1,0,unknown,false
47,admin.,married,secondary,false,1060,true,false,unknown,6,jun,83,3,-1,0,unknown,false
27,self-employed,married,secondary,false,-220,true,false,unknown,26,may,138,2,-1,0,unknown,false
41,management,married,tertiary,false,49,true,false,cellular,17,jul,312,5,-1,0,unknown,false
34,admin.,married,tertiary,false,69,false,true,cellular,4,aug,120,3,1,6,success,true
50,blue-collar,married,primary,false,4108,true,false,cellular,7,aug,526,2,-1,0,unknown,true
47,blue-collar,married,secondary,false,480,true,false,unknown,28,may,211,2,-1,0,unknown,false
53,services,married,secondary,false,4994,false,false,cellular,18,aug,62,6,-1,0,unknown,false
53,technician,divorced,secondary,false,0,true,true,cellular,15,jul,135,5,-1,0,unknown,false
47,management,married,tertiary,false,3681,false,false,cellular,14,aug,101,2,-1,0,unknown,false
49,entrepreneur,divorced,unknown,true,-701,true,false,cellular,30,jul,988,2,-1,0,unknown,true
29,management,married,tertiary,false,451,false,false,cellular,28,jan,451,1,-1,0,unknown,false
45,blue-collar,divorced,primary,false,-311,true,false,unknown,23,may,1030,1,-1,0,unknown,true
38,entrepreneur,married,secondary,false,593,true,true,cellular,24,jul,1484,24,-1,0,unknown,true
32,blue-collar,married,secondary,false,759,true,false,cellular,9,apr,317,5,-1,0,unknown,true
70,retired,divorced,primary,false,4531,false,false,cellular,18,may,445,1,-1,0,unknown,false
65,retired,divorced,primary,false,1840,false,false,cellular,1,jun,383,2,188,5,failure,false
56,blue-collar,married,secondary,false,345,true,false,telephone,22,jul,605,1,-1,0,unknown,false
35,blue-collar,married,secondary,false,1287,true,false,cellular,14,jul,330,2,-1,0,unknown,false
56,management,married,unknown,false,353,false,true,cellular,25,jul,171,2,-1,0,unknown,false
56,technician,married,secondary,false,205,false,true,cellular,23,jul,442,2,-1,0,unknown,false
49,entrepreneur,married,secondary,false,687,true,false,cellular,17,apr,772,1,-1,0,unknown,true
38,unemployed,married,primary,false,1147,true,true,unknown,8,may,249,5,-1,0,unknown,false
35,management,married,tertiary,false,4286,true,false,unknown,9,may,357,1,-1,0,unknown,false
38,admin.,married,tertiary,false,605,false,false,cellular,18,nov,147,2,-1,0,unknown,false
49,blue-collar,married,secondary,false,8545,true,true,cellular,6,may,199,7,167,1,failure,false
55,management,married,unknown,false,559,false,false,cellular,28,jan,271,2,-1,0,unknown,false
43,blue-collar,single,primary,false,2,true,false,cellular,30,jul,783,3,-1,0,unknown,false
43,management,married,tertiary,false,2,false,true,cellular,20,aug,472,2,-1,0,unknown,false
25,admin.,single,tertiary,false,760,true,false,cellular,27,may,223,3,89,2,failure,true
30,blue-collar,married,primary,false,1317,true,false,unknown,21,may,395,2,-1,0,unknown,false
